Length,Weight
18,135
25,190
25,190
28,220
53,197
59,250
66,195
75,440
77,230
83,485
85,485
86,480
86,370
89,500
97,561
99,355
105,562
116,752
126,530
146,680
147,755
178,850
206,1070
203,1430
203,2900
206,1540
258,1737
237,1460
258,1990
267,2900
267,2300
290,2900
358,3800
363,3500
380,3300
387,3090
445,5060
.,.
.,.
.,.
.,.
length,wt
XQD-M 440MB/s (read) and 150MB/s,
,524
,365
,555
,465
,640
,710
,780
,765
,730
,675
,675
,810
,860
,836
,1005
,1405
,
,305
,462
,461
,1000
,680
,485
,730
,1070
,
,
,
,
,
,227
,290
,
,330
,
,
,120
,180
,279
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,112
,113
,194
,
,
,
,30
,20
,52
,
